C#	9 11 11 10 9 9
C#maj7	9 - 10 10 9 -
C#maj9	9 8 10 8 9 8
C#maj11	- 4 3 5 2 2
C#maj13	9 8 8 8 9 8
C#maj9#11	9 8 10 8 8 8
C#maj13#11	9 8 8 8 8 8
C#6	1 1 3 1 2 1
C#add9	9 8 6 8 6 -
C#6add9	9 8 8 8 9 9
C#maj7b5	9 - 10 10 8 -
C#maj7#5	9 - 10 10 10 -
C#m	9 11 11 9 9 9
C#m7	9 11 9 9 9 9
C#m9	9 - 9 9 9 11
C#m11	9 - 9 9 7 -
C#m13	9 11 9 9 11 11
C#m6	9 - 8 9 9 -
C#madd9	- 4 2 1 4 -
C#m6add9	- 4 2 3 4 -
C#mmaj7	9 11 10 9 9 9
C#mmaj9	9 11 10 9 9 11
C#m7b5	9 - 9 9 8 -
C#m7#5	9 - 9 9 10 -
C#7	9 11 9 10 9 9
C#9	9 8 9 8 9 -
C#11	9 - 9 8 7 -
C#13	9 - 9 10 11 -
C#7sus4 9 11 9 11 9 9
C#7b5	9 - 9 10 8 -
C#7#5	9 - 9 10 10 -
C#7b9	9 11 9 10 9 10
C#7#9	9 11 9 10 12 12
C#7(b5,b9)	9 - 9 7 8 -
C#7(b5,#9)	- 4 3 4 5 3
C#7(#5,b9)	9 - 9 10 10 10
C#7(#5,#9)	- 4 3 4 5 5
C#9b5	9 8 9 8 8 -
C#9#5	9 - 9 10 10 11
C#13#11	9 10 9 10 11 11
C#13b9	9 - 9 10 11 10
C#11b9	9 - 9 7 7 -
C#aug	9 8 6 6 6 -
C#dim	9 10 11 9 - -
C#dim7	9 - 8 9 8 -
C#5	9 11 - - - -
C#sus4	9 11 11 11 9 9
C#sus2	- 4 6 6 4 4
C#sus2sus4	9 9 11 11 9 11
C#-5	- 4 5 6 6 -
